"round","acc_alpha_0_6","malicious_clients","acc_alpha_0_4","acc_alpha_0_2","WBC","LDP","None"
0,"100",6,"100","100","100","100","100"
1,"100",6,"100","100","100","100","100"
2,"99.99",0,"99.8","99.23","81.18","72.37","99.8"
3,"79.54",0,"69.32","79.08","41.01","31.1","92.59"
4,"45.1",0,"63.98","76.6","27.15","28.47","79.05"
5,"7.96",0,"9.86","49.86","12.13","20.79","78.95"
6,"8.98",0,"7.34","38.64","8.54","16.87","72.75"
7,"1.21",0,"2.01","21.99","3.84","11.32","66.4"
8,"1.73",0,"1.46","23.53","2.48","9.76","63.48"
9,"0.5",0,"0.16","20.58","3.39","9.22","59.2"
10,"99.98",6,"99.99","99.98","99.9","99.84","100"
11,"99.99",6,"100","99.98","99.97","99.9","100"
12,"99.83",0,"99.53","99.84","91.4","98.73","99.94"
13,"96.74",0,"95.63","97.87","68.27","93.76","99.93"
14,"74.4",0,"88.74","95.14","53.88","48.65","99.23"
15,"67.7",0,"72.48","91.1","63.97","40.3","99.59"
16,"19.64",0,"50.01","74.49","31.36","30.17","98.03"
17,"55.09",0,"67.56","70.19","18.99","12.7","96.73"
18,"35.92",0,"46.41","71.4","22.76","10.19","97.33"
19,"57.66",0,"19.84","65.96","19.23","9.37","92.39"
20,"100",6,"100","99.98","99.84","99.83","99.99"
21,"99.99",6,"100","99.99","99.96","99.93","100"
22,"99.55",0,"98.72","99.56","98.68","97.21","100"
23,"96.16",0,"90.79","99.27","95.68","83.31","99.95"
24,"85.75",0,"79.44","99.24","88.49","83.15","99.79"
25,"24.47",0,"33.62","95.54","78.1","70.29","99.41"
26,"2.34",0,"27.65","95.09","77.12","72.92","98.63"
27,"3.37",0,"8.33","92.17","80.98","55.75","99.28"
28,"0.89",0,"10.15","83.35","58.15","50.99","99.18"
29,"1.19",0,"11.27","71.44","60.22","51.68","98.38"
30,"100",6,"100","99.99","99.91","99.79","100"
31,"100",6,"100","99.99","99.95","99.92","100"
32,"99.82",0,"99.98","99.97","99.69","98.68","100"
33,"98.67",0,"99.74","98.79","92.76","98.42","99.98"
34,"96.76",0,"95.34","97.9","96.52","94.87","99.85"
35,"97.17",0,"94.89","95.75","98.31","82.15","99.7"
36,"94.93",0,"56.58","79.06","96.2","81.32","99.78"
37,"96.5",0,"84.4","89.24","85.67","78.49","99.9"
38,"77.94",0,"77.19","88","96.74","54.99","99.75"
39,"45.9",0,"47.06","86.79","97.43","41.67","99.7"
