"round","LeadFL","malicious_clients","LDP","None","WBC"
"0","6.09","2","4.59","6.57","4.37"
"1","4.04","1","1.24","6.59","1.55"
"2","5.02","2","1.4","3.62","0.53"
"3","99.97","5","99.98","24.36","99.95"
"4","99.5","1","96.86","22.22","95.13"
"5","95.87","1","48.43","17.03","77.81"
"6","100","5","99.88","77.6","99.92"
"7","98.17","4","91.64","64.65","91.33"
"8","96.3","1","78.08","60.95","85.22"
"9","91.34","3","46.2","50.87","82.51"
"10","78.2","2","32.05","51.58","76.82"
"11","59.04","2","15.58","40.02","56.16"
"12","73.96","3","25.38","27.23","44.26"
"13","64.95","2","14.59","36.74","47.1"
"14","39.78","0","9.97","29.56","46.91"
"15","12.58","3","6.81","26.97","19.53"
"16","100","6","99.94","100","99.85"
"17","99.95","4","98.8","99.99","98.52"
"18","99.15","4","98.33","99.82","96.73"
"19","78.17","1","96.94","99.81","88.16"
"20","74.24","4","85.9","99.71","78.82"
"21","72.27","3","76.71","97.1","71.18"
"22","82.89","4","48.51","97.76","78.56"
"23","66.21","3","60.2","97.73","49.61"
"24","47.24","2","42.37","93.08","42.18"
"25","19.4","2","29.65","90.69","35.87"
"26","8.66","3","37.95","93.34","37.84"
"27","7.44","3","17.49","85.43","25.91"
"28","8.82","3","28.42","85.98","41.07"
"29","4.42","1","19.96","88.9","36.85"
"30","3.72","1","25.16","82.65","41.71"
"31","3.59","3","39.18","80.64","37.18"
"32","6.98","0","22.67","89.11","39.72"
"33","18.28","3","23.05","76.34","20.39"
"34","4.58","3","22.83","77.9","16.56"
"35","3.94","0","19.81","75.91","31.57"
"36","2.44","2","11.12","69.53","19.91"
"37","2.66","2","9.94","81.95","13.03"
"38","1.13","2","10.15","83.26","23.63"
"39","1.95","3","13.09","82.29","23.71"
